title_id,title_name,genre,release_year,age_rating,popularity_score,description
29,Comedy Quest 29,Comedy,2021,PG-13,0.813,"An engaging comedy story that captivates audiences. Released in 2021, this title has received critical acclaim."
30,Mystery Chronicles 30,Mystery,2004,PG-13,0.959,"An engaging mystery story that captivates audiences. Released in 2004, this title has received critical acclaim."
31,Comedy Journey 31,Comedy,2015,NC-17,0.744,"An engaging comedy story that captivates audiences. Released in 2015, this title has received critical acclaim."
32,Sci-Fi Legacy 32,Sci-Fi,2020,PG-13,0.781,"An engaging sci-fi story that captivates audiences. Released in 2020, this title has received critical acclaim."
33,Horror Secrets 33,Horror,2022,PG-13,0.889,"An engaging horror story that captivates audiences. Released in 2022, this title has received critical acclaim."
34,Fantasy Journey 34,Fantasy,1990,PG,0.849,"An engaging fantasy story that captivates audiences. Released in 1990, this title has received critical acclaim."
35,Fantasy Quest 35,Fantasy,2014,PG-13,0.88,"An engaging fantasy story that captivates audiences. Released in 2014, this title has received critical acclaim."
36,Crime Quest 36,Crime,2003,PG-13,0.812,"An engaging crime story that captivates audiences. Released in 2003, this title has received critical acclaim."
37,Comedy Secrets 37,Comedy,2002,PG,0.718,"An engaging comedy story that captivates audiences. Released in 2002, this title has received critical acclaim."
38,Sci-Fi Tales 38,Sci-Fi,2008,PG-13,0.847,"An engaging sci-fi story that captivates audiences. Released in 2008, this title has received critical acclaim."
39,Action Tales 39,Action,2019,PG-13,0.902,"An engaging action story that captivates audiences. Released in 2019, this title has received critical acclaim."
40,Mystery Journey 40,Mystery,2020,PG-13,0.875,"An engaging mystery story that captivates audiences. Released in 2020, this title has received critical acclaim."
41,Crime Quest 41,Crime,2006,PG,0.842,"An engaging crime story that captivates audiences. Released in 2006, this title has received critical acclaim."
42,Horror Journey 42,Horror,2012,PG-13,0.7,"An engaging horror story that captivates audiences. Released in 2012, this title has received critical acclaim."
43,Fantasy Chronicles 43,Fantasy,2019,PG-13,0.821,"An engaging fantasy story that captivates audiences. Released in 2019, this title has received critical acclaim."
44,Romance Secrets 44,Romance,2008,NC-17,0.885,"An engaging romance story that captivates audiences. Released in 2008, this title has received critical acclaim."
45,Horror Chronicles 45,Horror,1997,PG-13,0.945,"An engaging horror story that captivates audiences. Released in 1997, this title has received critical acclaim."
46,Animation Legacy 46,Animation,2005,PG-13,0.748,"An engaging animation story that captivates audiences. Released in 2005, this title has received critical acclaim."
47,Romance Quest 47,Romance,2015,PG,0.868,"An engaging romance story that captivates audiences. Released in 2015, this title has received critical acclaim."
48,Drama Tales 48,Drama,2011,R,0.709,"An engaging drama story that captivates audiences. Released in 2011, this title has received critical acclaim."
49,Fantasy Quest 49,Fantasy,2011,R,0.855,"An engaging fantasy story that captivates audiences. Released in 2011, this title has received critical acclaim."
50,Animation Tales 50,Animation,1990,R,0.804,"An engaging animation story that captivates audiences. Released in 1990, this title has received critical acclaim."
51,Mystery Legacy 51,Mystery,1991,NC-17,0.843,"An engaging mystery story that captivates audiences. Released in 1991, this title has received critical acclaim."
52,Animation Tales 52,Animation,2022,NC-17,0.798,"An engaging animation story that captivates audiences. Released in 2022, this title has received critical acclaim."
53,Horror Legacy 53,Horror,1994,PG,0.739,"An engaging horror story that captivates audiences. Released in 1994, this title has received critical acclaim."
54,Sci-Fi Secrets 54,Sci-Fi,2014,R,0.755,"An engaging sci-fi story that captivates audiences. Released in 2014, this title has received critical acclaim."
55,Comedy Quest 55,Comedy,2007,R,0.718,"An engaging comedy story that captivates audiences. Released in 2007, this title has received critical acclaim."
56,Romance Legacy 56,Romance,2015,PG-13,0.915,"An engaging romance story that captivates audiences. Released in 2015, this title has received critical acclaim."
57,Horror Secrets 57,Horror,2017,PG-13,0.748,"An engaging horror story that captivates audiences. Released in 2017, this title has received critical acclaim."
58,Comedy Legacy 58,Comedy,1998,R,0.875,"An engaging comedy story that captivates audiences. Released in 1998, this title has received critical acclaim."
59,Romance Chronicles 59,Romance,2002,PG-13,0.974,"An engaging romance story that captivates audiences. Released in 2002, this title has received critical acclaim."
60,Drama Legacy 60,Drama,2005,PG-13,0.731,"An engaging drama story that captivates audiences. Released in 2005, this title has received critical acclaim."
61,Drama Secrets 61,Drama,2010,PG-13,0.775,"An engaging drama story that captivates audiences. Released in 2010, this title has received critical acclaim."
62,Drama Quest 62,Drama,2003,R,0.8,"An engaging drama story that captivates audiences. Released in 2003, this title has received critical acclaim."
63,Action Chronicles 63,Action,2002,R,0.873,"An engaging action story that captivates audiences. Released in 2002, this title has received critical acclaim."
64,Fantasy Quest 64,Fantasy,2019,PG,0.717,"An engaging fantasy story that captivates audiences. Released in 2019, this title has received critical acclaim."
65,Drama Secrets 65,Drama,1992,PG-13,0.75,"An engaging drama story that captivates audiences. Released in 1992, this title has received critical acclaim."
66,Comedy Tales 66,Comedy,2020,NC-17,0.949,"An engaging comedy story that captivates audiences. Released in 2020, this title has received critical acclaim."
67,Drama Chronicles 67,Drama,2004,PG-13,0.71,"An engaging drama story that captivates audiences. Released in 2004, this title has received critical acclaim."
68,Horror Chronicles 68,Horror,2008,PG-13,0.941,"An engaging horror story that captivates audiences. Released in 2008, this title has received critical acclaim."
69,Animation Journey 69,Animation,2017,PG-13,0.784,"An engaging animation story that captivates audiences. Released in 2017, this title has received critical acclaim."
70,Sci-Fi Tales 70,Sci-Fi,1999,R,0.894,"An engaging sci-fi story that captivates audiences. Released in 1999, this title has received critical acclaim."
71,Sci-Fi Journey 71,Sci-Fi,2010,PG,0.837,"An engaging sci-fi story that captivates audiences. Released in 2010, this title has received critical acclaim."
72,Romance Legacy 72,Romance,2011,PG-13,0.821,"An engaging romance story that captivates audiences. Released in 2011, this title has received critical acclaim."
73,Horror Chronicles 73,Horror,1997,PG-13,0.843,"An engaging horror story that captivates audiences. Released in 1997, this title has received critical acclaim."
74,Horror Legacy 74,Horror,2001,PG-13,0.747,"An engaging horror story that captivates audiences. Released in 2001, this title has received critical acclaim."
75,Action Journey 75,Action,1993,R,0.801,"An engaging action story that captivates audiences. Released in 1993, this title has received critical acclaim."
76,Fantasy Chronicles 76,Fantasy,2000,PG,0.835,"An engaging fantasy story that captivates audiences. Released in 2000, this title has received critical acclaim."
77,Thriller Legacy 77,Thriller,1997,PG-13,0.962,"An engaging thriller story that captivates audiences. Released in 1997, this title has received critical acclaim."
78,Horror Journey 78,Horror,2020,PG-13,0.778,"An engaging horror story that captivates audiences. Released in 2020, this title has received critical acclaim."
79,Sci-Fi Journey 79,Sci-Fi,2003,G,0.786,"An engaging sci-fi story that captivates audiences. Released in 2003, this title has received critical acclaim."
80,Thriller Legacy 80,Thriller,1995,PG-13,0.945,"An engaging thriller story that captivates audiences. Released in 1995, this title has received critical acclaim."
81,Romance Chronicles 81,Romance,2010,PG,0.75,"An engaging romance story that captivates audiences. Released in 2010, this title has received critical acclaim."
82,Crime Secrets 82,Crime,1990,R,0.739,"An engaging crime story that captivates audiences. Released in 1990, this title has received critical acclaim."
83,Animation Legacy 83,Animation,2017,R,0.82,"An engaging animation story that captivates audiences. Released in 2017, this title has received critical acclaim."
84,Animation Secrets 84,Animation,2020,PG,0.77,"An engaging animation story that captivates audiences. Released in 2020, this title has received critical acclaim."
85,Animation Legacy 85,Animation,1991,R,0.809,"An engaging animation story that captivates audiences. Released in 1991, this title has received critical acclaim."
86,Romance Legacy 86,Romance,1999,PG,0.837,"An engaging romance story that captivates audiences. Released in 1999, this title has received critical acclaim."
87,Action Tales 87,Action,1991,PG,0.764,"An engaging action story that captivates audiences. Released in 1991, this title has received critical acclaim."
88,Crime Legacy 88,Crime,2019,R,0.875,"An engaging crime story that captivates audiences. Released in 2019, this title has received critical acclaim."
89,Documentary Tales 89,Documentary,2002,PG,0.969,"An engaging documentary story that captivates audiences. Released in 2002, this title has received critical acclaim."
90,Action Journey 90,Action,2011,PG-13,0.901,"An engaging action story that captivates audiences. Released in 2011, this title has received critical acclaim."
91,Action Secrets 91,Action,1991,R,0.836,"An engaging action story that captivates audiences. Released in 1991, this title has received critical acclaim."
92,Drama Secrets 92,Drama,2017,R,0.966,"An engaging drama story that captivates audiences. Released in 2017, this title has received critical acclaim."
93,Fantasy Secrets 93,Fantasy,1993,PG-13,0.769,"An engaging fantasy story that captivates audiences. Released in 1993, this title has received critical acclaim."
94,Comedy Legacy 94,Comedy,2002,PG-13,0.879,"An engaging comedy story that captivates audiences. Released in 2002, this title has received critical acclaim."
95,Horror Journey 95,Horror,1991,NC-17,0.894,"An engaging horror story that captivates audiences. Released in 1991, this title has received critical acclaim."
96,Animation Secrets 96,Animation,2021,PG-13,0.891,"An engaging animation story that captivates audiences. Released in 2021, this title has received critical acclaim."
97,Drama Legacy 97,Drama,2008,PG,0.847,"An engaging drama story that captivates audiences. Released in 2008, this title has received critical acclaim."
98,Animation Secrets 98,Animation,1995,PG-13,0.778,"An engaging animation story that captivates audiences. Released in 1995, this title has received critical acclaim."
99,Action Legacy 99,Action,1997,PG,0.72,"An engaging action story that captivates audiences. Released in 1997, this title has received critical acclaim."
100,Thriller Tales 100,Thriller,1997,R,0.772,"An engaging thriller story that captivates audiences. Released in 1997, this title has received critical acclaim."
101,Animation Secrets 101,Animation,2017,NC-17,0.989,"An engaging animation story that captivates audiences. Released in 2017, this title has received critical acclaim."
102,Fantasy Tales 102,Fantasy,2007,NC-17,0.799,"An engaging fantasy story that captivates audiences. Released in 2007, this title has received critical acclaim."
103,Documentary Quest 103,Documentary,1991,R,0.877,"An engaging documentary story that captivates audiences. Released in 1991, this title has received critical acclaim."
104,Comedy Chronicles 104,Comedy,2020,R,0.895,"An engaging comedy story that captivates audiences. Released in 2020, this title has received critical acclaim."
105,Action Quest 105,Action,1992,R,0.75,"An engaging action story that captivates audiences. Released in 1992, this title has received critical acclaim."
106,Comedy Journey 106,Comedy,1998,PG-13,0.919,"An engaging comedy story that captivates audiences. Released in 1998, this title has received critical acclaim."
107,Drama Quest 107,Drama,2020,R,0.79,"An engaging drama story that captivates audiences. Released in 2020, this title has received critical acclaim."
108,Action Legacy 108,Action,1993,PG,0.751,"An engaging action story that captivates audiences. Released in 1993, this title has received critical acclaim."
109,Mystery Chronicles 109,Mystery,1999,PG,0.853,"An engaging mystery story that captivates audiences. Released in 1999, this title has received critical acclaim."
110,Sci-Fi Quest 110,Sci-Fi,2003,R,0.959,"An engaging sci-fi story that captivates audiences. Released in 2003, this title has received critical acclaim."
111,Romance Journey 111,Romance,2014,PG,0.772,"An engaging romance story that captivates audiences. Released in 2014, this title has received critical acclaim."
112,Documentary Journey 112,Documentary,2016,G,0.714,"An engaging documentary story that captivates audiences. Released in 2016, this title has received critical acclaim."
113,Documentary Quest 113,Documentary,2019,R,0.863,"An engaging documentary story that captivates audiences. Released in 2019, this title has received critical acclaim."
114,Fantasy Secrets 114,Fantasy,1997,PG-13,0.837,"An engaging fantasy story that captivates audiences. Released in 1997, this title has received critical acclaim."
115,Action Journey 115,Action,2022,R,0.839,"An engaging action story that captivates audiences. Released in 2022, this title has received critical acclaim."
116,Crime Journey 116,Crime,1994,R,0.717,"An engaging crime story that captivates audiences. Released in 1994, this title has received critical acclaim."
117,Documentary Legacy 117,Documentary,2000,PG-13,0.941,"An engaging documentary story that captivates audiences. Released in 2000, this title has received critical acclaim."
118,Fantasy Tales 118,Fantasy,2012,PG,0.845,"An engaging fantasy story that captivates audiences. Released in 2012, this title has received critical acclaim."
119,Thriller Tales 119,Thriller,2008,PG,0.803,"An engaging thriller story that captivates audiences. Released in 2008, this title has received critical acclaim."
120,Sci-Fi Tales 120,Sci-Fi,2019,R,0.712,"An engaging sci-fi story that captivates audiences. Released in 2019, this title has received critical acclaim."
121,Drama Secrets 121,Drama,2001,PG-13,0.945,"An engaging drama story that captivates audiences. Released in 2001, this title has received critical acclaim."
122,Fantasy Chronicles 122,Fantasy,1991,PG,0.824,"An engaging fantasy story that captivates audiences. Released in 1991, this title has received critical acclaim."
123,Animation Journey 123,Animation,2011,PG-13,0.742,"An engaging animation story that captivates audiences. Released in 2011, this title has received critical acclaim."
124,Drama Chronicles 124,Drama,1997,G,0.757,"An engaging drama story that captivates audiences. Released in 1997, this title has received critical acclaim."
125,Horror Chronicles 125,Horror,1990,R,0.983,"An engaging horror story that captivates audiences. Released in 1990, this title has received critical acclaim."
126,Animation Tales 126,Animation,2000,NC-17,0.894,"An engaging animation story that captivates audiences. Released in 2000, this title has received critical acclaim."
127,Drama Legacy 127,Drama,2015,PG-13,0.92,"An engaging drama story that captivates audiences. Released in 2015, this title has received critical acclaim."
128,Sci-Fi Chronicles 128,Sci-Fi,2020,R,0.795,"An engaging sci-fi story that captivates audiences. Released in 2020, this title has received critical acclaim."
129,Horror Journey 129,Horror,1995,PG-13,0.719,"An engaging horror story that captivates audiences. Released in 1995, this title has received critical acclaim."
130,Mystery Journey 130,Mystery,2007,PG-13,0.884,"An engaging mystery story that captivates audiences. Released in 2007, this title has received critical acclaim."
131,Horror Legacy 131,Horror,2022,R,0.962,"An engaging horror story that captivates audiences. Released in 2022, this title has received critical acclaim."
132,Drama Tales 132,Drama,2022,R,0.77,"An engaging drama story that captivates audiences. Released in 2022, this title has received critical acclaim."
133,Romance Quest 133,Romance,2006,G,0.85,"An engaging romance story that captivates audiences. Released in 2006, this title has received critical acclaim."
134,Horror Legacy 134,Horror,2000,R,0.71,"An engaging horror story that captivates audiences. Released in 2000, this title has received critical acclaim."
135,Sci-Fi Legacy 135,Sci-Fi,2005,PG,0.786,"An engaging sci-fi story that captivates audiences. Released in 2005, this title has received critical acclaim."
136,Thriller Secrets 136,Thriller,1999,G,0.882,"An engaging thriller story that captivates audiences. Released in 1999, this title has received critical acclaim."
137,Drama Tales 137,Drama,2002,PG,0.824,"An engaging drama story that captivates audiences. Released in 2002, this title has received critical acclaim."
138,Sci-Fi Legacy 138,Sci-Fi,1996,PG-13,0.856,"An engaging sci-fi story that captivates audiences. Released in 1996, this title has received critical acclaim."
139,Romance Chronicles 139,Romance,2019,PG,0.914,"An engaging romance story that captivates audiences. Released in 2019, this title has received critical acclaim."
140,Drama Chronicles 140,Drama,2005,PG-13,0.758,"An engaging drama story that captivates audiences. Released in 2005, this title has received critical acclaim."
141,Sci-Fi Tales 141,Sci-Fi,2015,G,0.918,"An engaging sci-fi story that captivates audiences. Released in 2015, this title has received critical acclaim."
142,Action Secrets 142,Action,2003,R,0.852,"An engaging action story that captivates audiences. Released in 2003, this title has received critical acclaim."
143,Comedy Journey 143,Comedy,1992,PG-13,0.803,"An engaging comedy story that captivates audiences. Released in 1992, this title has received critical acclaim."
144,Documentary Quest 144,Documentary,2023,PG-13,0.988,"An engaging documentary story that captivates audiences. Released in 2023, this title has received critical acclaim."
145,Drama Tales 145,Drama,2002,G,0.863,"An engaging drama story that captivates audiences. Released in 2002, this title has received critical acclaim."
146,Mystery Chronicles 146,Mystery,2013,R,0.992,"An engaging mystery story that captivates audiences. Released in 2013, this title has received critical acclaim."
147,Sci-Fi Legacy 147,Sci-Fi,2000,PG-13,0.764,"An engaging sci-fi story that captivates audiences. Released in 2000, this title has received critical acclaim."
148,Documentary Quest 148,Documentary,2009,PG-13,0.923,"An engaging documentary story that captivates audiences. Released in 2009, this title has received critical acclaim."
149,Mystery Journey 149,Mystery,1990,PG-13,0.893,"An engaging mystery story that captivates audiences. Released in 1990, this title has received critical acclaim."
150,Horror Chronicles 150,Horror,2012,PG-13,0.933,"An engaging horror story that captivates audiences. Released in 2012, this title has received critical acclaim."
151,Thriller Tales 151,Thriller,2001,PG-13,0.946,"An engaging thriller story that captivates audiences. Released in 2001, this title has received critical acclaim."
152,Mystery Quest 152,Mystery,1995,PG-13,0.955,"An engaging mystery story that captivates audiences. Released in 1995, this title has received critical acclaim."
153,Drama Quest 153,Drama,1994,PG-13,0.748,"An engaging drama story that captivates audiences. Released in 1994, this title has received critical acclaim."
154,Drama Quest 154,Drama,2005,PG,0.797,"An engaging drama story that captivates audiences. Released in 2005, this title has received critical acclaim."
155,Crime Chronicles 155,Crime,2005,PG-13,0.874,"An engaging crime story that captivates audiences. Released in 2005, this title has received critical acclaim."
156,Crime Tales 156,Crime,2005,R,0.954,"An engaging crime story that captivates audiences. Released in 2005, this title has received critical acclaim."
157,Mystery Chronicles 157,Mystery,2012,R,0.876,"An engaging mystery story that captivates audiences. Released in 2012, this title has received critical acclaim."
158,Fantasy Quest 158,Fantasy,1998,PG-13,0.94,"An engaging fantasy story that captivates audiences. Released in 1998, this title has received critical acclaim."
159,Drama Tales 159,Drama,2012,PG,0.905,"An engaging drama story that captivates audiences. Released in 2012, this title has received critical acclaim."
160,Mystery Quest 160,Mystery,2016,G,0.853,"An engaging mystery story that captivates audiences. Released in 2016, this title has received critical acclaim."
161,Animation Tales 161,Animation,1990,PG,0.984,"An engaging animation story that captivates audiences. Released in 1990, this title has received critical acclaim."
162,Comedy Journey 162,Comedy,2015,PG-13,0.975,"An engaging comedy story that captivates audiences. Released in 2015, this title has received critical acclaim."
163,Thriller Secrets 163,Thriller,2007,PG,0.817,"An engaging thriller story that captivates audiences. Released in 2007, this title has received critical acclaim."
164,Drama Secrets 164,Drama,2017,PG-13,0.839,"An engaging drama story that captivates audiences. Released in 2017, this title has received critical acclaim."
165,Thriller Quest 165,Thriller,2000,R,0.719,"An engaging thriller story that captivates audiences. Released in 2000, this title has received critical acclaim."
166,Animation Secrets 166,Animation,2011,R,0.827,"An engaging animation story that captivates audiences. Released in 2011, this title has received critical acclaim."
167,Horror Journey 167,Horror,2014,PG-13,0.938,"An engaging horror story that captivates audiences. Released in 2014, this title has received critical acclaim."
168,Drama Secrets 168,Drama,2012,R,0.713,"An engaging drama story that captivates audiences. Released in 2012, this title has received critical acclaim."
169,Horror Secrets 169,Horror,2002,G,0.997,"An engaging horror story that captivates audiences. Released in 2002, this title has received critical acclaim."
170,Documentary Journey 170,Documentary,2022,PG-13,0.895,"An engaging documentary story that captivates audiences. Released in 2022, this title has received critical acclaim."
171,Horror Tales 171,Horror,1990,PG-13,0.849,"An engaging horror story that captivates audiences. Released in 1990, this title has received critical acclaim."
172,Comedy Journey 172,Comedy,2023,PG-13,0.955,"An engaging comedy story that captivates audiences. Released in 2023, this title has received critical acclaim."
173,Fantasy Secrets 173,Fantasy,2004,NC-17,0.913,"An engaging fantasy story that captivates audiences. Released in 2004, this title has received critical acclaim."
174,Sci-Fi Tales 174,Sci-Fi,1994,R,0.714,"An engaging sci-fi story that captivates audiences. Released in 1994, this title has received critical acclaim."
175,Thriller Tales 175,Thriller,1996,PG-13,0.955,"An engaging thriller story that captivates audiences. Released in 1996, this title has received critical acclaim."
176,Romance Tales 176,Romance,1997,G,0.802,"An engaging romance story that captivates audiences. Released in 1997, this title has received critical acclaim."
177,Documentary Secrets 177,Documentary,1994,G,0.794,"An engaging documentary story that captivates audiences. Released in 1994, this title has received critical acclaim."
178,Animation Tales 178,Animation,2002,PG-13,0.979,"An engaging animation story that captivates audiences. Released in 2002, this title has received critical acclaim."
179,Action Quest 179,Action,2001,G,0.86,"An engaging action story that captivates audiences. Released in 2001, this title has received critical acclaim."
180,Horror Legacy 180,Horror,2010,NC-17,0.932,"An engaging horror story that captivates audiences. Released in 2010, this title has received critical acclaim."
181,Crime Tales 181,Crime,1991,NC-17,0.872,"An engaging crime story that captivates audiences. Released in 1991, this title has received critical acclaim."
182,Sci-Fi Legacy 182,Sci-Fi,2009,PG-13,0.802,"An engaging sci-fi story that captivates audiences. Released in 2009, this title has received critical acclaim."
183,Drama Secrets 183,Drama,2015,R,0.711,"An engaging drama story that captivates audiences. Released in 2015, this title has received critical acclaim."
184,Sci-Fi Chronicles 184,Sci-Fi,1990,PG,0.811,"An engaging sci-fi story that captivates audiences. Released in 1990, this title has received critical acclaim."
185,Crime Quest 185,Crime,2019,PG-13,0.798,"An engaging crime story that captivates audiences. Released in 2019, this title has received critical acclaim."
186,Thriller Legacy 186,Thriller,2010,PG-13,0.796,"An engaging thriller story that captivates audiences. Released in 2010, this title has received critical acclaim."
187,Horror Legacy 187,Horror,1990,PG-13,0.809,"An engaging horror story that captivates audiences. Released in 1990, this title has received critical acclaim."
188,Documentary Legacy 188,Documentary,2002,PG-13,0.91,"An engaging documentary story that captivates audiences. Released in 2002, this title has received critical acclaim."
189,Documentary Secrets 189,Documentary,1999,G,0.813,"An engaging documentary story that captivates audiences. Released in 1999, this title has received critical acclaim."
190,Action Chronicles 190,Action,2009,PG-13,0.793,"An engaging action story that captivates audiences. Released in 2009, this title has received critical acclaim."
191,Sci-Fi Tales 191,Sci-Fi,2015,R,0.996,"An engaging sci-fi story that captivates audiences. Released in 2015, this title has received critical acclaim."
192,Comedy Legacy 192,Comedy,1995,G,0.708,"An engaging comedy story that captivates audiences. Released in 1995, this title has received critical acclaim."
193,Romance Tales 193,Romance,2015,PG-13,0.972,"An engaging romance story that captivates audiences. Released in 2015, this title has received critical acclaim."
194,Comedy Chronicles 194,Comedy,2006,R,0.747,"An engaging comedy story that captivates audiences. Released in 2006, this title has received critical acclaim."
195,Animation Legacy 195,Animation,2021,PG-13,0.951,"An engaging animation story that captivates audiences. Released in 2021, this title has received critical acclaim."
196,Drama Tales 196,Drama,2019,R,0.984,"An engaging drama story that captivates audiences. Released in 2019, this title has received critical acclaim."
197,Mystery Secrets 197,Mystery,2020,R,0.862,"An engaging mystery story that captivates audiences. Released in 2020, this title has received critical acclaim."
198,Animation Legacy 198,Animation,1996,PG-13,0.712,"An engaging animation story that captivates audiences. Released in 1996, this title has received critical acclaim."
199,Mystery Journey 199,Mystery,2008,G,0.731,"An engaging mystery story that captivates audiences. Released in 2008, this title has received critical acclaim."
200,Fantasy Chronicles 200,Fantasy,1995,PG-13,0.709,"An engaging fantasy story that captivates audiences. Released in 1995, this title has received critical acclaim."
201,Comedy Journey 201,Comedy,2001,R,0.788,"An engaging comedy story that captivates audiences. Released in 2001, this title has received critical acclaim."
202,Sci-Fi Journey 202,Sci-Fi,2017,PG,0.927,"An engaging sci-fi story that captivates audiences. Released in 2017, this title has received critical acclaim."
203,Sci-Fi Legacy 203,Sci-Fi,2012,PG,0.901,"An engaging sci-fi story that captivates audiences. Released in 2012, this title has received critical acclaim."
204,Drama Chronicles 204,Drama,2013,PG-13,0.988,"An engaging drama story that captivates audiences. Released in 2013, this title has received critical acclaim."
205,Fantasy Tales 205,Fantasy,2009,PG-13,0.744,"An engaging fantasy story that captivates audiences. Released in 2009, this title has received critical acclaim."
206,Comedy Tales 206,Comedy,2001,PG-13,0.873,"An engaging comedy story that captivates audiences. Released in 2001, this title has received critical acclaim."
207,Romance Journey 207,Romance,2016,PG-13,0.727,"An engaging romance story that captivates audiences. Released in 2016, this title has received critical acclaim."
208,Animation Secrets 208,Animation,2003,NC-17,0.739,"An engaging animation story that captivates audiences. Released in 2003, this title has received critical acclaim."
209,Crime Legacy 209,Crime,1990,PG-13,0.851,"An engaging crime story that captivates audiences. Released in 1990, this title has received critical acclaim."
210,Comedy Secrets 210,Comedy,1998,PG,0.815,"An engaging comedy story that captivates audiences. Released in 1998, this title has received critical acclaim."
211,Mystery Quest 211,Mystery,2005,R,0.85,"An engaging mystery story that captivates audiences. Released in 2005, this title has received critical acclaim."
212,Fantasy Legacy 212,Fantasy,2001,PG-13,0.967,"An engaging fantasy story that captivates audiences. Released in 2001, this title has received critical acclaim."
213,Mystery Quest 213,Mystery,1999,R,0.742,"An engaging mystery story that captivates audiences. Released in 1999, this title has received critical acclaim."
214,Crime Secrets 214,Crime,2022,R,0.735,"An engaging crime story that captivates audiences. Released in 2022, this title has received critical acclaim."
215,Crime Tales 215,Crime,2004,R,0.852,"An engaging crime story that captivates audiences. Released in 2004, this title has received critical acclaim."
216,Romance Legacy 216,Romance,2005,PG-13,0.851,"An engaging romance story that captivates audiences. Released in 2005, this title has received critical acclaim."
217,Action Quest 217,Action,2004,R,0.874,"An engaging action story that captivates audiences. Released in 2004, this title has received critical acclaim."
218,Animation Legacy 218,Animation,1991,PG-13,0.83,"An engaging animation story that captivates audiences. Released in 1991, this title has received critical acclaim."
219,Animation Legacy 219,Animation,1990,R,0.792,"An engaging animation story that captivates audiences. Released in 1990, this title has received critical acclaim."
220,Horror Legacy 220,Horror,2012,G,0.886,"An engaging horror story that captivates audiences. Released in 2012, this title has received critical acclaim."
